Number,Name,IPA,Evolves from,Evolves into,Total evolutionary stages,Evolutionary stage code,Baby,Legendary,Types,Weight lb,Height in,Percentage male,Percentage female,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total Power
25,Pikachu,ˈpiːkətʃuː,Pichu,Raichu,3,3b,FALSE,FALSE,Electric,13.2,16,50,50,35,55,30,50,40,90,300
26,Raichu,ˈɹaɪtʃuː,Pikachu,,3,3c,FALSE,FALSE,"Electric, Psychic, Electric",66.1,31,50,50,60,90,55,90,80,100,475
27,Sandshrew,ˈsændʃɹuː,,Sandslash,2,2a,FALSE,FALSE,"Ice, Steel, Ground",26.5,24,50,50,50,75,85,20,30,40,300
28,Sandslash,ˈsændslæʃ,Sandshrew,,2,2b,FALSE,FALSE,"Ice, Steel, Ground",65,39,50,50,75,100,110,45,55,65,450
29,Nidoran♀,ˈniːdoʊɹæn (ˈfiːmeɪl),,Nidorina,3,3a,FALSE,FALSE,Poison,15.4,16,0,,55,47,52,40,40,41,275
30,Nidorina,ˌniːdoʊˈɹiːnə,Nidoran♀,Nidoqueen,3,3b,FALSE,FALSE,Poison,44.1,31,0,,70,62,67,55,55,56,365
31,Nidoqueen,ˈniːdoʊkwiːn,Nidorina,,3,3c,FALSE,FALSE,"Poison, Ground",132.3,51,0,,90,82,87,75,85,76,495
32,Nidoran♂,ˈniːdoʊɹæn (ˈmeɪl),,Nidorino,3,3a,FALSE,FALSE,Poison,19.8,20,,0,46,57,40,40,40,50,273
33,Nidorino,ˌniːdoʊˈɹiːnoʊ,Nidoran♂,Nidoking,3,3b,FALSE,FALSE,Poison,43,35,,0,61,72,57,55,55,65,365
34,Nidoking,ˈniːdoʊkɪŋ,Nidorino,,3,3c,FALSE,FALSE,"Poison, Ground",136.7,55,,0,81,92,77,85,75,85,495
35,Clefairy,klɛˈfɛɹiː,Cleffa,Clefable,3,3b,FALSE,FALSE,Fairy,16.5,24,25,75,70,45,48,60,65,35,323
36,Clefable,klɛˈfeɪbəl,Clefairy,,3,3c,FALSE,FALSE,Fairy,88.2,51,25,75,95,70,73,85,90,60,473
37,Vulpix,ˈvʊlpɪks,,Ninetales,2,2a,FALSE,FALSE,"Fire,, Ice",21.8,24,25,75,38,41,40,50,65,65,299
38,Ninetales,ˈnaɪnteɪlz,Vulpix,,2,2b,FALSE,FALSE,"Ice, Fairy, Fire",43.9,43,25,75,73,76,75,81,100,100,505
39,Jigglypuff,ˈdʒɪɡliːpʌf,Igglybuff,Wigglytuff,3,3b,FALSE,FALSE,"Normal, Fairy",12.1,20,25,75,115,45,20,45,25,20,270
40,Wigglytuff,ˈwɪɡliːtʌf,Jigglypuff,,3,3c,FALSE,FALSE,"Normal, Fairy",26.5,39,25,75,140,70,45,75,50,45,425
41,Zubat,ˈzuːbæt,,Golbat,3,3a,FALSE,FALSE,"Poison, Flying",16.5,31,50,50,40,45,35,30,40,55,245
42,Golbat,ˈɡɔːlbæt,Zubat,Crobat,3,3b,FALSE,FALSE,"Poison, Flying",121.3,63,50,50,75,80,70,65,75,90,455
43,Oddish,ˈɑːdɪʃ,,Gloom,3,3a,FALSE,FALSE,"Grass, Poison",11.9,20,50,50,45,50,55,75,65,30,320
44,Gloom,ˈɡluːm,Oddish,"Bellossom, Vileplume",3,3b,FALSE,FALSE,"Grass, Poison",19,31,50,50,60,65,70,85,75,40,395
45,Vileplume,ˈvaɪlpluːm,Gloom,,3,3c,FALSE,FALSE,"Grass, Poison",41,47,50,50,75,80,85,100,90,50,480
46,Paras,ˈpɛɹəs,,Parasect,2,2a,FALSE,FALSE,"Bug, Grass",11.9,12,50,50,35,70,55,45,55,25,285
47,Parasect,ˈpɛɹəsɛkt,Paras,,2,2b,FALSE,FALSE,"Bug, Grass",65,39,50,50,60,95,80,60,80,30,405
48,Venonat,ˈvɛnoʊnæt,,Venomoth,2,2a,FALSE,FALSE,"Bug, Poison",66.1,39,50,50,60,55,50,40,55,45,305
49,Venomoth,ˈvɛnoʊmɑːθ,Venonat,,2,2b,FALSE,FALSE,"Bug, Poison",27.6,59,50,50,70,65,60,90,75,90,450
50,Diglett,ˈdɪɡlət,,Dugtrio,2,2a,FALSE,FALSE,"Ground, Steel, Ground",1.8,8,50,50,10,55,25,35,45,95,265
51,Dugtrio,dʌɡˈtɹiːoʊ,Diglett,,2,2b,FALSE,FALSE,"Ground, Steel, Ground",73.4,28,50,50,35,80,50,50,70,120,405
52,Meowth,miːˈaʊθ,,"Perrserker, Persian",2,2a,FALSE,FALSE,"Normal,, Dark,, Steel",9.3,16,50,50,40,45,35,40,40,90,290
53,Persian,ˈpɝːʒən,Meowth,,2,2b,FALSE,FALSE,"Normal,, Dark",70.5,39,50,50,65,70,60,65,65,115,440
54,Psyduck,ˈsaɪdʌk,,Golduck,2,2a,FALSE,FALSE,Water,43.2,31,50,50,50,52,48,65,50,55,320
55,Golduck,ˈɡɔːldʌk,Psyduck,,2,2b,FALSE,FALSE,Water,168.9,67,50,50,80,82,78,95,80,85,500
56,Mankey,ˈmæŋkiː,,Primeape,3,3a,FALSE,FALSE,Fighting,61.7,20,50,50,40,80,35,35,45,70,305
57,Primeape,ˈpɹaɪmeɪp,Mankey,Annihilape,3,3b,FALSE,FALSE,Fighting,70.5,39,50,50,65,105,60,60,70,95,455
58,Growlithe,ˈɡɹaʊlɪθ,,Arcanine,2,2a,FALSE,FALSE,"Fire, Rock, Fire",41.9,28,75,25,55,70,45,70,50,60,350
59,Arcanine,ˈɑːɹkənɑɪn,Growlithe,,2,2b,FALSE,FALSE,"Fire, Rock, Fire",341.7,75,75,25,90,110,80,100,80,95,555
60,Poliwag,ˈpɑːliːwæɡ,,Poliwhirl,3,3a,FALSE,FALSE,Water,27.3,24,50,50,40,50,40,40,40,90,300
61,Poliwhirl,ˈpɑːliːwɝːl,Poliwag,"Politoed, Poliwrath",3,3b,FALSE,FALSE,Water,44.1,39,50,50,65,65,65,50,50,90,385
62,Poliwrath,ˈpɑːliːɹæθ,Poliwhirl,,3,3c,FALSE,FALSE,"Water, Fighting",119,51,50,50,90,85,95,70,90,70,500
63,Abra,ˈæbɹə,,Kadabra,3,3a,FALSE,FALSE,Psychic,43,35,75,25,25,20,15,105,55,90,310
64,Kadabra,kəˈdæbɹə,Abra,Alakazam,3,3b,FALSE,FALSE,Psychic,124.6,51,75,25,40,35,30,120,70,105,400
65,Alakazam,ˌæləkəˈzæm,Kadabra,,3,3c,FALSE,FALSE,Psychic,105.8,59,75,25,55,50,45,135,85,120,490
66,Machop,məˈtʃɑːp,,Machoke,3,3a,FALSE,FALSE,Fighting,43,31,75,25,70,80,50,35,35,35,305
67,Machoke,məˈtʃoʊk,Machop,Machamp,3,3b,FALSE,FALSE,Fighting,155.4,59,75,25,80,100,70,50,60,45,405
68,Machamp,məˈtʃæmp,Machoke,,3,3c,FALSE,FALSE,Fighting,286.6,63,75,25,90,130,80,65,85,55,505
69,Bellsprout,ˈbɛlspɹaʊt,,Weepinbell,3,3a,FALSE,FALSE,"Grass, Poison",8.8,28,50,50,50,75,35,70,30,40,300
70,Weepinbell,ˈwiːpɪnbɛl,Bellsprout,Victreebel,3,3b,FALSE,FALSE,"Grass, Poison",14.1,39,50,50,65,90,50,85,45,55,390
71,Victreebel,ˈvɪktriːbɛl,Weepinbell,,3,3c,FALSE,FALSE,"Grass, Poison",34.2,67,50,50,80,105,65,100,60,70,480
72,Tentacool,ˈtɛntəkuːl,,Tentacruel,2,2a,FALSE,FALSE,"Water, Poison",100.3,35,50,50,40,40,35,50,100,70,335
73,Tentacruel,ˈtɛntəkɹuːl,Tentacool,,2,2b,FALSE,FALSE,"Water, Poison",121.3,63,50,50,80,70,65,80,120,100,515
74,Geodude,ˈdʒiːoʊduːd,,Graveler,3,3a,FALSE,FALSE,"Rock, Ground, Rock, Electric",44.1,16,50,50,40,80,100,30,30,20,300
75,Graveler,ˈɡɹævəlɚ,Geodude,Golem,3,3b,FALSE,FALSE,"Rock, Ground, Rock, Electric",231.5,39,50,50,55,95,115,45,45,35,390
76,Golem,ˈɡɔːləm,Graveler,,3,3c,FALSE,FALSE,"Rock, Ground, Rock, Electric",661.4,55,50,50,80,110,130,55,65,45,485
77,Ponyta,ˈpoʊniːtɑː,,Rapidash,2,2a,FALSE,FALSE,"Fire,, Psychic",66.1,39,50,50,50,85,55,65,65,90,410
78,Rapidash,ˈɹæpɪdæʃ,Ponyta,,2,2b,FALSE,FALSE,"Psychic, Fairy, Fire",209.4,67,50,50,65,100,70,80,80,105,500
79,Slowpoke,ˈsloʊpoʊk,,"Slowking, Slowbro",2,2a,FALSE,FALSE,"Water, Psychic, Psychic",79.4,47,50,50,90,65,65,40,40,15,315
80,Slowbro,ˈsloʊbɹoʊ,Slowpoke,,2,2b,FALSE,FALSE,"Water, Psychic, Poison, Psychic",173.1,63,50,50,95,75,110,100,80,30,490
81,Magnemite,ˈmæɡnəmaɪt,,Magneton,3,3a,FALSE,FALSE,"Electric, Steel",13.2,12,,,25,35,70,95,55,45,325
82,Magneton,ˈmæɡnətɑːn,Magnemite,Magnezone,3,3b,FALSE,FALSE,"Electric, Steel",132.3,39,,,50,60,95,120,70,70,465
83,Farfetch'd,ˈfɑːɹfɛtʃt,,"""Sirfetchd""",2,2a,FALSE,FALSE,"Normal, Flying, Fighting",33.1,31,50,50,52,65,55,58,62,60,352
84,Doduo,doʊˈduːoʊ,,Dodrio,2,2a,FALSE,FALSE,"Normal, Flying",86.4,55,50,50,35,85,45,35,35,75,310
85,Dodrio,doʊˈdɹiːoʊ,Doduo,,2,2b,FALSE,FALSE,"Normal, Flying",187.8,71,50,50,60,110,70,60,60,100,460
86,Seel,ˈsiːl,,Dewgong,2,2a,FALSE,FALSE,Water,198.4,43,50,50,65,45,55,45,70,45,325
87,Dewgong,ˈduːɡɑːŋ,Seel,,2,2b,FALSE,FALSE,"Water, Ice",264.6,67,50,50,90,70,80,70,95,70,475
88,Grimer,ˈɡɹaɪmɚ,,Muk,2,2a,FALSE,FALSE,"Poison, Dark, Poison",66.1,35,50,50,80,80,50,40,50,25,325
89,Muk,ˈmʌk,Grimer,,2,2b,FALSE,FALSE,"Poison, Dark, Poison",66.1,47,50,50,105,105,75,65,100,50,500
90,Shellder,ˈʃɛldɚ,,Cloyster,2,2a,FALSE,FALSE,Water,8.8,12,50,50,30,65,100,45,25,40,305
91,Cloyster,ˈklɔɪstɚ,Shellder,,2,2b,FALSE,FALSE,"Water, Ice",292.1,59,50,50,50,95,180,85,45,70,525
92,Gastly,ˈɡæsliː,,Haunter,3,3a,FALSE,FALSE,"Ghost, Poison",0.2,51,50,50,30,35,30,100,35,80,310
93,Haunter,ˈhɑːntɚ,Gastly,Gengar,3,3b,FALSE,FALSE,"Ghost, Poison",0.2,63,50,50,45,50,45,115,55,95,405
94,Gengar,ˈɡɛŋɡɑːɹ,Haunter,,3,3c,FALSE,FALSE,"Ghost, Poison",89.3,59,50,50,60,65,60,130,75,110,500
95,Onix,ˈɑːnɪks,,Steelix,2,2a,FALSE,FALSE,"Rock, Ground",463,346,50,50,35,45,160,30,45,70,385
96,Drowzee,ˈdɹaʊziː,,Hypno,2,2a,FALSE,FALSE,Psychic,71.4,39,50,50,60,48,45,43,90,42,328
97,Hypno,ˈhɪpnoʊ,Drowzee,,2,2b,FALSE,FALSE,Psychic,166.7,63,50,50,85,73,70,73,115,67,483
98,Krabby,ˈkɹæbiː,,Kingler,2,2a,FALSE,FALSE,Water,14.3,16,50,50,30,105,90,25,25,50,325
99,Kingler,ˈkɪŋlɚ,Krabby,,2,2b,FALSE,FALSE,Water,132.3,51,50,50,55,130,115,50,50,75,475
100,Voltorb,ˈvɔːltɔːɹb,,Electrode,2,2a,FALSE,FALSE,"Electric, Grass, Electric",22.9,20,,,40,30,50,55,55,100,330
101,Electrode,ɪˈlɛktɹoʊd,Voltorb,,2,2b,FALSE,FALSE,"Electric, Grass, Electric",146.8,47,,,60,50,70,80,80,140,480
102,Exeggcute,ˈɛɡzəɡkjuːt,,Exeggutor,2,2a,FALSE,FALSE,"Grass, Psychic",5.5,16,50,50,60,40,80,60,45,40,325
103,Exeggutor,ɛɡzˈɛɡjuːtɔːɹ,Exeggcute,,2,2b,FALSE,FALSE,"Grass, Psychic, Grass, Dragon",264.6,79,50,50,95,95,85,125,65,55,520
104,Cubone,ˈkjuːboʊn,,Marowak,2,2a,FALSE,FALSE,Ground,14.3,16,50,50,50,50,95,40,50,35,320
105,Marowak,ˈmɛɹoʊwæk,Cubone,,2,2b,FALSE,FALSE,"Fire, Ghost, Ground",99.2,39,50,50,60,80,110,50,80,45,425
106,Hitmonlee,ˈhɪtmɑːnliː,Tyrogue,,2,2b,FALSE,FALSE,Fighting,109.8,59,,0,50,120,53,35,110,87,455
107,Hitmonchan,ˈhɪtmɑːntʃæn,Tyrogue,,2,2b,FALSE,FALSE,Fighting,110.7,55,,0,50,105,79,35,110,76,455
108,Lickitung,ˈlɪkɪtʌŋ,,Lickilicky,2,2a,FALSE,FALSE,Normal,144.4,47,50,50,90,55,75,60,75,30,385
109,Koffing,ˈkɑːfɪŋ,,Weezing,2,2a,FALSE,FALSE,Poison,2.2,24,50,50,40,65,95,60,45,35,340
110,Weezing,ˈwiːzɪŋ,Koffing,,2,2b,FALSE,FALSE,"Poison, Fairy, Poison",20.9,47,50,50,65,90,120,85,70,60,490
111,Rhyhorn,ˈɹaɪhɔːɹn,,Rhydon,3,3a,FALSE,FALSE,"Ground, Rock",253.5,39,50,50,80,85,95,30,30,25,345
112,Rhydon,ˈɹaɪdɑːn,Rhyhorn,Rhyperior,3,3b,FALSE,FALSE,"Ground, Rock",264.6,75,50,50,105,130,120,45,45,40,485
113,Chansey,ˈtʃænsiː,Happiny,Blissey,3,3b,FALSE,FALSE,Normal,76.3,43,0,,250,5,5,35,105,50,450
114,Tangela,ˈtæŋɡələ,,Tangrowth,2,2a,FALSE,FALSE,Grass,77.2,39,50,50,65,55,115,100,40,60,435
115,Kangaskhan,ˈkæŋɡəskɑːn,,,1,1a,FALSE,FALSE,Normal,176.4,87,0,,105,95,80,40,80,90,490
116,Horsea,ˈhɔːɹsiː,,Seadra,3,3a,FALSE,FALSE,Water,17.6,16,50,50,30,40,70,70,25,60,295
117,Seadra,ˈsiːdɹə,Horsea,Kingdra,3,3b,FALSE,FALSE,Water,55.1,47,50,50,55,65,95,95,45,85,440
118,Goldeen,ɡɔːlˈdiːn,,Seaking,2,2a,FALSE,FALSE,Water,33.1,0,50,50,45,67,60,35,50,63,320
119,Seaking,ˈsiːkɪŋ,Goldeen,,2,2b,FALSE,FALSE,Water,86,51,50,50,80,92,65,65,80,68,450
120,Staryu,ˈstɑːɹjuː,,Starmie,2,2a,FALSE,FALSE,Water,76.1,31,,,30,45,55,70,55,85,340
121,Starmie,ˈstɑːɹmiː,Staryu,,2,2b,FALSE,FALSE,"Water, Psychic",176.4,43,,,60,75,85,100,85,115,520
122,Mr. Mime,ˌmɪstɚˈmaɪm,Mime Jr.,Mr. Rime,3,3b,FALSE,FALSE,"Psychic, Fairy, Ice, Psychic",120.2,51,50,50,40,45,65,100,120,90,460
123,Scyther,ˈsaɪθɚ,,"Scizor, Kleavor",2,2a,FALSE,FALSE,"Bug, Flying",123.5,59,50,50,70,110,80,55,80,105,500
124,Jynx,ˈdʒɪŋks,Smoochum,,2,2b,FALSE,FALSE,"Ice, Psychic",89.5,55,0,,65,50,35,115,95,95,455
125,Electabuzz,əˈlɛktəbʌz,Elekid,Electivire,3,3b,FALSE,FALSE,Electric,66.1,43,75,25,65,83,57,95,85,105,490
126,Magmar,ˈmæɡmɑːɹ,Magby,Magmortar,3,3b,FALSE,FALSE,Fire,98.1,51,75,25,65,95,57,100,85,93,495
127,Pinsir,ˈpɪnsɚ,,,1,1a,FALSE,FALSE,Bug,121.3,59,50,50,65,125,100,55,70,85,500
128,Tauros,ˈtɔːɹoʊs,,,1,1a,FALSE,FALSE,"Fighting, Fire, Fighting, Water, Normal,, Fighting",194.9,55,,0,75,100,95,40,70,110,490
129,Magikarp,ˈmædʒɪkɑːɹp,,Gyarados,2,2a,FALSE,FALSE,Water,22,35,50,50,20,10,55,15,20,80,200
130,Gyarados,ˈɡɛɹədoʊs,Magikarp,,2,2b,FALSE,FALSE,"Water, Flying",518.1,256,50,50,95,125,79,60,100,81,540
131,Lapras,ˈlæpɹəs,,,1,1a,FALSE,FALSE,"Water, Ice",485,98,50,50,130,85,80,85,95,60,535
132,Ditto,ˈdɪtoʊ,,,1,1a,FALSE,FALSE,Normal,8.8,12,,,48,48,48,48,48,48,288
133,Eevee,ˈiːviː,,"Jolteon, Espeon, Glaceon, Flareon, Sylveon, Leafeon, Umbreon, Vaporeon",2,2a,FALSE,FALSE,Normal,14.3,12,87.5,12.5,55,55,50,45,65,55,325
134,Vaporeon,veɪˈpɔːɹiːɑːn,Eevee,,2,2b,FALSE,FALSE,Water,63.9,39,87.5,12.5,130,65,60,110,95,65,525
135,Jolteon,ˈdʒɔːltiːɑːn,Eevee,,2,2b,FALSE,FALSE,Electric,54,31,87.5,12.5,65,65,60,110,95,130,525
136,Flareon,ˈflɛɹiːɑːn,Eevee,,2,2b,FALSE,FALSE,Fire,55.1,35,87.5,12.5,65,130,60,95,110,65,525
137,Porygon,ˈpɔːɹiːɡɑːn,,Porygon2,3,3a,FALSE,FALSE,Normal,80.5,0,,,65,60,70,85,75,40,395
138,Omanyte,ˈɑːmənɑɪt,,Omastar,2,2a,FALSE,FALSE,"Rock, Water",16.5,16,87.5,12.5,35,40,100,90,55,35,355
139,Omastar,ˈɑːməstɑːɹ,Omanyte,,2,2b,FALSE,FALSE,"Rock, Water",77.2,39,87.5,12.5,70,60,125,115,70,55,495
140,Kabuto,kəˈbuːtoʊ,,Kabutops,2,2a,FALSE,FALSE,"Rock, Water",25.4,20,87.5,12.5,30,80,90,55,45,55,355
141,Kabutops,ˈkɑːbuːtɑːps,Kabuto,,2,2b,FALSE,FALSE,"Rock, Water",89.3,51,87.5,12.5,60,115,105,65,70,80,495
142,Aerodactyl,ɛɹəˈdæktəl,,,1,1a,FALSE,FALSE,"Rock, Flying",130.1,71,87.5,12.5,80,105,65,60,75,130,515
143,Snorlax,ˈsnɔːɹlæks,Munchlax,,2,2b,FALSE,FALSE,Normal,1014.1,83,87.5,12.5,160,110,65,65,110,30,540
144,Articuno,ˌɑːɹɾɪˈkuːnoʊ,,,1,1a,FALSE,TRUE,"Ice, Flying, Psychic, Flying",122.1,67,,,90,85,100,95,125,85,580
145,Zapdos,ˈzæpdoʊs,,,1,1a,FALSE,TRUE,"Electric, Flying, Fighting, Flying",116,63,,,90,90,85,125,90,100,580
146,Moltres,ˈmɔːltɹeɪs,,,1,1a,FALSE,TRUE,"Fire, Flying, Dark, Flying",132.3,79,,,90,100,90,125,85,90,580
147,Dratini,dɹəˈtiːniː,,Dragonair,3,3a,FALSE,FALSE,Dragon,7.3,71,50,50,41,64,45,50,50,50,300
148,Dragonair,ˈdɹæɡənɛɹ,Dratini,Dragonite,3,3b,FALSE,FALSE,Dragon,36.4,157,50,50,61,84,65,70,70,70,420
149,Dragonite,ˈdɹæɡənaɪt,Dragonair,,3,3c,FALSE,FALSE,"Dragon, Flying",463,87,50,50,91,134,95,100,100,80,600
150,Mewtwo,ˈmjuːtuː,,,1,1a,FALSE,TRUE,Psychic,269,79,,,106,110,90,154,90,130,680
151,Mew,ˈmjuː,,,1,1a,FALSE,FALSE,Psychic,8.8,16,,,100,100,100,100,100,100,600
152,Chikorita,ˌtʃɪkɔːɹˈiːɾə,,Bayleef,3,3a,FALSE,FALSE,Grass,14.1,35,87.5,12.5,45,49,65,49,65,45,318
153,Bayleef,ˈbeɪliːf,Chikorita,Meganium,3,3b,FALSE,FALSE,Grass,34.8,47,87.5,12.5,60,62,80,63,80,60,405
154,Meganium,məˈɡeɪniːəm,Bayleef,,3,3c,FALSE,FALSE,Grass,221.6,71,87.5,12.5,80,82,100,83,100,80,525
155,Cyndaquil,ˈsɪndəkwɪl,,Quilava,3,3a,FALSE,FALSE,Fire,17.4,20,87.5,12.5,39,52,43,60,50,65,309
156,Quilava,kwɪˈlɑːvə,Cyndaquil,Typhlosion,3,3b,FALSE,FALSE,Fire,41.9,35,87.5,12.5,58,64,58,80,65,80,405
157,Typhlosion,taɪˈfloʊʒən,Quilava,,3,3c,FALSE,FALSE,"Fire, Ghost, Fire",175.3,67,87.5,12.5,78,84,78,109,85,100,534
158,Totodile,ˈtoʊɾədaɪl,,Croconaw,3,3a,FALSE,FALSE,Water,20.9,0,87.5,12.5,50,65,64,44,48,43,314
159,Croconaw,ˈkɹɑːkənɑː,Totodile,Feraligatr,3,3b,FALSE,FALSE,Water,55.1,43,87.5,12.5,65,80,80,59,63,58,405
160,Feraligatr,fɚˈæləɡeɪɾɚ,Croconaw,,3,3c,FALSE,FALSE,Water,195.8,91,87.5,12.5,85,105,100,79,83,78,530
161,Sentret,ˈsɛntɹət,,Furret,2,2a,FALSE,FALSE,Normal,13.2,31,50,50,35,46,34,35,45,20,215
162,Furret,ˈfɝːət,Sentret,,2,2b,FALSE,FALSE,Normal,71.7,71,50,50,85,76,64,45,55,90,415
163,Hoothoot,ˈhuːtˌhuːt,,Noctowl,2,2a,FALSE,FALSE,"Normal, Flying",46.7,28,50,50,60,30,30,36,56,50,262
164,Noctowl,ˈnɑːktaʊl,Hoothoot,,2,2b,FALSE,FALSE,"Normal, Flying",89.9,63,50,50,100,50,50,76,96,70,442
165,Ledyba,ˈlɛdiːbə,,Ledian,2,2a,FALSE,FALSE,"Bug, Flying",23.8,39,50,50,40,20,30,40,80,55,265
166,Ledian,ˈlɛdiːɑːn,Ledyba,,2,2b,FALSE,FALSE,"Bug, Flying",78.5,55,50,50,55,35,50,55,110,85,390
167,Spinarak,ˈspɪnəɹæk,,Ariados,2,2a,FALSE,FALSE,"Bug, Poison",18.7,20,50,50,40,60,40,40,40,30,250
168,Ariados,ˈɛɹiːədoʊs,Spinarak,,2,2b,FALSE,FALSE,"Bug, Poison",73.9,0,50,50,70,90,70,60,60,40,390
169,Crobat,ˈkɹoʊbæt,Golbat,,3,3c,FALSE,FALSE,"Poison, Flying",165.3,0,50,50,85,90,80,70,80,130,535
170,Chinchou,ˈtʃɪntʃaʊ,,Lanturn,2,2a,FALSE,FALSE,"Water, Electric",26.5,20,50,50,75,38,38,56,56,67,330
171,Lanturn,ˈlæntɚn,Chinchou,,2,2b,FALSE,FALSE,"Water, Electric",49.6,47,50,50,125,58,58,76,76,67,460
172,Pichu,ˈpiːtʃu,,Pikachu,3,3a,TRUE,FALSE,Electric,4.4,12,50,50,20,40,15,35,35,60,205
173,Cleffa,ˈklɛfə,,Clefairy,3,3a,TRUE,FALSE,Fairy,6.6,12,25,75,50,25,28,45,55,15,218
174,Igglybuff,ˈɪɡliːbʌf,,Jigglypuff,3,3a,TRUE,FALSE,"Normal, Fairy",2.2,12,25,75,90,30,15,40,20,15,210
175,Togepi,ˈtoʊgəpiː,,Togetic,3,3a,TRUE,FALSE,Fairy,3.3,12,87.5,12.5,35,20,65,40,65,20,245
176,Togetic,ˈtoʊɡətɪk,Togepi,Togekiss,3,3b,FALSE,FALSE,"Fairy, Flying",7.1,24,87.5,12.5,55,40,85,80,105,40,405
177,Natu,ˈnɑːtuː,,Xatu,2,2a,FALSE,FALSE,"Psychic, Flying",4.4,8,50,50,40,50,45,70,45,70,320
178,Xatu,ˈzɑːtuː,Natu,,2,2b,FALSE,FALSE,"Psychic, Flying",33.1,59,50,50,65,75,70,95,70,95,470
179,Mareep,məˈɹiːp,,Flaaffy,3,3a,FALSE,FALSE,Electric,17.2,24,50,50,55,40,40,65,45,35,280
